run_id,dataset,scene,role,views,seed,method,start_step,end_step,status,psnr,ssim,lpips,geometry_error,log_path
LLFF_fern_v3_s1_A0,LLFF,fern,development,3,1,A0,0,10000,NR,NR,NR,NR,NR,NR
LLFF_fern_v3_s1_A1,LLFF,fern,development,3,1,A1,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_fern_v3_s1_B,LLFF,fern,development,3,1,B,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_fern_v3_s2_A0,LLFF,fern,development,3,2,A0,0,10000,NR,NR,NR,NR,NR,NR
LLFF_fern_v3_s2_A1,LLFF,fern,development,3,2,A1,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_fern_v3_s2_B,LLFF,fern,development,3,2,B,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_fern_v3_s3_A0,LLFF,fern,development,3,3,A0,0,10000,NR,NR,NR,NR,NR,NR
LLFF_fern_v3_s3_A1,LLFF,fern,development,3,3,A1,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_fern_v3_s3_B,LLFF,fern,development,3,3,B,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_room_v3_s1_A0,LLFF,room,development,3,1,A0,0,10000,NR,NR,NR,NR,NR,NR
LLFF_room_v3_s1_A1,LLFF,room,development,3,1,A1,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_room_v3_s1_B,LLFF,room,development,3,1,B,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_room_v3_s2_A0,LLFF,room,development,3,2,A0,0,10000,NR,NR,NR,NR,NR,NR
LLFF_room_v3_s2_A1,LLFF,room,development,3,2,A1,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_room_v3_s2_B,LLFF,room,development,3,2,B,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_room_v3_s3_A0,LLFF,room,development,3,3,A0,0,10000,NR,NR,NR,NR,NR,NR
LLFF_room_v3_s3_A1,LLFF,room,development,3,3,A1,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_room_v3_s3_B,LLFF,room,development,3,3,B,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_flower_v3_s1_A0,LLFF,flower,confirmatory,3,1,A0,0,10000,NR,NR,NR,NR,NR,NR
LLFF_flower_v3_s1_A1,LLFF,flower,confirmatory,3,1,A1,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_flower_v3_s1_B,LLFF,flower,confirmatory,3,1,B,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_flower_v3_s2_A0,LLFF,flower,confirmatory,3,2,A0,0,10000,NR,NR,NR,NR,NR,NR
LLFF_flower_v3_s2_A1,LLFF,flower,confirmatory,3,2,A1,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_flower_v3_s2_B,LLFF,flower,confirmatory,3,2,B,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_flower_v3_s3_A0,LLFF,flower,confirmatory,3,3,A0,0,10000,NR,NR,NR,NR,NR,NR
LLFF_flower_v3_s3_A1,LLFF,flower,confirmatory,3,3,A1,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_flower_v3_s3_B,LLFF,flower,confirmatory,3,3,B,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_fortress_v3_s1_A0,LLFF,fortress,confirmatory,3,1,A0,0,10000,NR,NR,NR,NR,NR,NR
LLFF_fortress_v3_s1_A1,LLFF,fortress,confirmatory,3,1,A1,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_fortress_v3_s1_B,LLFF,fortress,confirmatory,3,1,B,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_fortress_v3_s2_A0,LLFF,fortress,confirmatory,3,2,A0,0,10000,NR,NR,NR,NR,NR,NR
LLFF_fortress_v3_s2_A1,LLFF,fortress,confirmatory,3,2,A1,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_fortress_v3_s2_B,LLFF,fortress,confirmatory,3,2,B,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_fortress_v3_s3_A0,LLFF,fortress,confirmatory,3,3,A0,0,10000,NR,NR,NR,NR,NR,NR
LLFF_fortress_v3_s3_A1,LLFF,fortress,confirmatory,3,3,A1,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_fortress_v3_s3_B,LLFF,fortress,confirmatory,3,3,B,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_horns_v3_s1_A0,LLFF,horns,confirmatory,3,1,A0,0,10000,NR,NR,NR,NR,NR,NR
LLFF_horns_v3_s1_A1,LLFF,horns,confirmatory,3,1,A1,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_horns_v3_s1_B,LLFF,horns,confirmatory,3,1,B,10000,12000,NR,NR,NR,NR,NR,NR
